Date,Vaping,Quit Valorant,Walk,Wake Up Early,No Pot,No Energy Drink,Coding,Shower,University,Gym,
2025-03-29,0.9639,0.9139,0.8095,0.8257,0.7219,0.6557,0.6170,0.6557,0.4722,0.0000,
2025-03-28,0.9619,0.9092,0.7991,0.8162,0.7066,0.6369,0.6170,0.6369,0.4722,0.0000,
2025-03-27,0.9599,0.9043,0.7991,0.8162,0.6906,0.6170,0.5960,0.6170,0.4433,0.0000,
2025-03-26,0.9577,0.8990,0.7881,0.8061,0.6736,0.5960,0.5739,0.5960,0.4128,0.0000,
2025-03-25,0.9553,0.8935,0.7881,0.7955,0.6557,0.5739,0.5506,0.5960,0.4128,0.0000,
2025-03-24,0.9529,0.8876,0.7765,0.7843,0.6369,0.5506,0.5260,0.5739,0.3807,0.0000,
2025-03-23,0.9503,0.8815,0.7642,0.7725,0.6170,0.5506,0.5000,0.5739,0.3468,0.0000,
2025-03-22,0.9476,0.8750,0.7642,0.7725,0.5960,0.5506,0.5000,0.5506,0.3110,0.0000,
2025-03-21,0.9447,0.8682,0.7642,0.7725,0.5739,0.5260,0.5000,0.5260,0.3110,0.0000,
2025-03-20,0.9417,0.8609,0.7513,0.7600,0.5506,0.5000,0.4726,0.5000,0.2732,0.0000,
2025-03-19,0.9385,0.8533,0.7377,0.7469,0.5260,0.4726,0.4437,0.4726,0.2334,0.0000,
2025-03-18,0.9351,0.8453,0.7233,0.7330,0.5000,0.4437,0.4133,0.4437,0.1915,0.0000,
2025-03-17,0.9316,0.8368,0.7082,0.7184,0.4726,0.4133,0.3811,0.4437,0.1472,0.0000,
2025-03-16,0.9278,0.8279,0.6922,0.7030,0.4437,0.3811,0.3472,0.4133,0.1005,0.0000,
2025-03-15,0.9239,0.8184,0.6753,0.6867,0.4133,0.3472,0.3472,0.3811,0.1060,0.0000,
2025-03-14,0.9197,0.8085,0.6575,0.6695,0.3811,0.3472,0.3472,0.3811,0.1118,0.0000,
2025-03-13,0.9153,0.7980,0.6388,0.6514,0.3472,0.3115,0.3115,0.3472,0.1179,0.0000,
2025-03-12,0.9107,0.7870,0.6190,0.6324,0.3115,0.2738,0.2738,0.3115,0.1244,0.0000,
2025-03-11,0.9058,0.7753,0.5981,0.6122,0.2738,0.2340,0.2340,0.2738,0.1312,0.0000,
2025-03-10,0.9006,0.7630,0.5761,0.5910,0.2340,0.1921,0.1921,0.2340,0.1384,0.0000,
2025-03-09,0.8952,0.7500,0.5529,0.5686,0.1921,0.1478,0.1478,0.1921,0.0912,0.0000,
2025-03-08,0.8894,0.7363,0.5284,0.5450,0.1478,0.1011,0.1011,0.1478,0.0962,0.0000,
2025-03-07,0.8834,0.7219,0.5026,0.5200,0.1011,0.0519,0.0519,0.1011,0.0467,0.0000,
2025-03-06,0.8770,0.7066,0.4753,0.4937,0.0519,0.0000,0.0000,0.0519,0.0492,0.0000,
2025-03-05,0.8703,0.6906,0.4466,0.4660,0.0000,0.0000,0.0000,0.0000,0.0519,0.0000,
2025-03-04,0.8659,0.6736,0.4163,0.4368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-03-03,0.8620,0.6557,0.3843,0.4059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-03-02,0.8544,0.6369,0.3506,0.3734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-03-01,0.8533,0.6170,0.3698,0.3938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-28,0.8589,0.5960,0.3353,0.4154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-27,0.8649,0.5739,0.3537,0.4382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-26,0.8712,0.5506,0.3730,0.4622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-25,0.8778,0.5260,0.3935,0.4875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-24,0.8848,0.5000,0.4150,0.4594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-23,0.8922,0.4726,0.3830,0.4298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-22,0.9000,0.4437,0.4040,0.4533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-21,0.9082,0.4133,0.3713,0.4234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-20,0.9169,0.3811,0.3369,0.3918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-19,0.9260,0.3472,0.3006,0.4133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-18,0.9357,0.3115,0.2623,0.3811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-17,0.9458,0.2738,0.2219,0.3472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-16,0.9566,0.2340,0.2340,0.3115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-15,0.9747,0.1921,0.1921,0.2738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-14,0.9870,0.1478,0.1478,0.2340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-13,0.0000,0.1011,0.1011,0.1921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-12,0.0000,0.0519,0.0519,0.1478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-11,0.0000,0.0000,0.0000,0.1011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2025-02-10,0.0000,0.0000,0.0000,0.0519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
